word,root
ظَٰلِمُونَ,ظالمون,ظالمون
عَفَوْنَا,عفونا,عفونا
عَنكُم,عنكم,عنكم
مِّنۢ,من,من
تَشْكُرُونَ,تشكرون,تشكرون
ءَاتَيْنَا,ءاتينا,ءاتينا
مُوسَى,موسى,موسى
وَٱلْفُرْقَانَ,والفرقان,والفرقان
تَهْتَدُونَ,تهتدون,تهتدون
مُوسَىٰ,موسىا,موسىا
لِقَوْمِهِۦ,لقومه,لقومه
يَٰقَوْمِ,ياقوم,ياقوم
إِنَّكُمْ,انكم,انكم
ظَلَمْتُمْ,ظلمتم,ظلمتم
أَنفُسَكُم,انفسكم,انفسكم
بِٱتِّخَاذِكُمُ,باتخاذكم,باتخاذكم
فَتُوبُوٓا۟,فتوبوا,فتوبوا
بَارِئِكُمْ,باريكم,باريكم
فَٱقْتُلُوٓا۟,فاقتلوا,فاقتلوا
ذَٰلِكُمْ,ذالكم,ذالكم
خَيْرٌ,خير,خير
عِندَ,عند,عند
قُلْتُمْ,قلتم,قلتم
يَٰمُوسَىٰ,ياموسىا,ياموسىا
لَن,لن,لن
نُّؤْمِنَ,نومن,نومن
حَتَّىٰ,حتىا,حتىا
نَرَى,نرى,نرى
جَهْرَةً,جهرة,جهرة
فَأَخَذَتْكُمُ,فاخذتكم,فاخذتكم
ٱلصَّٰعِقَةُ,الصاعقة,الصاعقة
بَعَثْنَٰكُم,بعثناكم,بعثناكم
مَوْتِكُمْ,موتكم,موتكم
وَظَلَّلْنَا,وظللنا,وظللنا
عَلَيْكُمُ,عليكم,عليكم
ٱلْغَمَامَ,الغمام,الغمام
وَأَنزَلْنَا,وانزلنا,وانزلنا
ٱلْمَنَّ,المن,المن
وَٱلسَّلْوَىٰ,والسلوىا,والسلوىا
كُلُوا۟,كلوا,كلوا
طَيِّبَٰتِ,طيبات,طيبات
رَزَقْنَٰكُمْ,رزقناكم,رزقناكم
ظَلَمُونَا,ظلمونا,ظلمونا
كَانُوٓا۟,كانوا,كانوا
يَظْلِمُونَ,يظلمون,يظلمون
ٱدْخُلُوا۟,ادخلوا,ادخلوا
ٱلْقَرْيَةَ,القرية,القرية
فَكُلُوا۟,فكلوا,فكلوا
شِئْتُمْ,شيتم,شيتم
وَٱدْخُلُوا۟,وادخلوا,وادخلوا
ٱلْبَابَ,الباب,الباب
سُجَّدًا,سجدا,سجدا
وَقُولُوا۟,وقولوا,وقولوا
حِطَّةٌ,حطة,حطة
نَّغْفِرْ,نغفر,نغفر
لَكُمْ,لكم,لكم
خَطَٰيَٰكُمْ,خطاياكم,خطاياكم
وَسَنَزِيدُ,وسنزيد,وسنزيد
ٱلْمُحْسِنِينَ,المحسنين,المحسنين
فَبَدَّلَ,فبدل,فبدل
ظَلَمُوا۟,ظلموا,ظلموا
قَوْلًا,قولا,قولا
غَيْرَ,غير,غير
فَأَنزَلْنَا,فانزلنا,فانزلنا
رِجْزًا,رجزا,رجزا
يَفْسُقُونَ,يفسقون,يفسقون
وَإِذِ,واذ,واذ
ٱسْتَسْقَىٰ,استسقىا,استسقىا
فَقُلْنَا,فقلنا,فقلنا
ٱضْرِب,اضرب,اضرب
بِّعَصَاكَ,بعصاك,بعصاك
ٱلْحَجَرَ,الحجر,الحجر
فَٱنفَجَرَتْ,فانفجرت,فانفجرت
مِنْهُ,منه,منه
ٱثْنَتَا,اثنتا,اثنتا
عَشْرَةَ,عشرة,عشرة
عَيْنًا,عينا,عينا
قَدْ,قد,قد
عَلِمَ,علم,علم
كُلُّ,كل,كل
أُنَاسٍ,اناس,اناس
مَّشْرَبَهُمْ,مشربهم,مشربهم
وَٱشْرَبُوا۟,واشربوا,واشربوا
رِّزْقِ,رزق,رزق
تَعْثَوْا۟,تعثوا,تعثوا
مُفْسِدِينَ,مفسدين,مفسدين
نَّصْبِرَ,نصبر,نصبر
طَعَامٍ,طعام,طعام
وَٰحِدٍ,واحد,واحد
فَٱدْعُ,فادع,فادع
لَنَا,لنا,لنا
رَبَّكَ,ربك,ربك
يُخْرِجْ,يخرج,يخرج
تُنۢبِتُ,تنبت,تنبت
ٱلْأَرْضُ,الارض,الارض
بَقْلِهَا,بقلها,بقلها
وَقِثَّآئِهَا,وقثايها,وقثايها
وَفُومِهَا,وفومها,وفومها
وَعَدَسِهَا,وعدسها,وعدسها
وَبَصَلِهَا,وبصلها,وبصلها
أَتَسْتَبْدِلُونَ,اتستبدلون,اتستبدلون
أَدْنَىٰ,ادنىا,ادنىا
بِٱلَّذِى,بالذى,بالذى
مِصْرًا,مصرا,مصرا
فَإِنَّ,فان,فان
سَأَلْتُمْ,سالتم,سالتم
وَضُرِبَتْ,وضربت,وضربت
عَلَيْهِمُ,عليهم,عليهم
ٱلذِّلَّةُ,الذلة,الذلة
وَٱلْمَسْكَنَةُ,والمسكنة,والمسكنة
وَبَآءُو,وباءو,وباءو
بِغَضَبٍ,بغضب,بغضب
بِأَنَّهُمْ,بانهم,بانهم
يَكْفُرُونَ,يكفرون,يكفرون
بِـَٔايَٰتِ,بـايات,بـايات
وَيَقْتُلُونَ,ويقتلون,ويقتلون
ٱلنَّبِيِّۦنَ,النبين,النبين
بِغَيْرِ,بغير,بغير
ٱلْحَقِّ,الحق,الحق
عَصَوا۟,عصوا,عصوا
وَّكَانُوا۟,وكانوا,وكانوا
يَعْتَدُونَ,يعتدون,يعتدون
هَادُوا۟,هادوا,هادوا
وَٱلنَّصَٰرَىٰ,والنصارىا,والنصارىا
