word,root
ظَلَمُونَا,ظلمو,ظلمونا
كَانُوٓا۟,كانوٓا۟,كانوا
يَظْلِمُونَ,ظلم,يظلمون
ٱدْخُلُوا۟,ٱدخلوا۟,ادخلوا
ٱلْقَرْيَةَ,ٱلقر,القرية
فَكُلُوا۟,كلوا۟,فكلوا
شِئْتُمْ,شئتم,شيتم
وَٱدْخُلُوا۟,وٱدخلوا۟,وادخلوا
ٱلْبَابَ,ٱلباب,الباب
سُجَّدًا,سجد,سجدا
وَقُولُوا۟,قولوا۟,وقولوا
حِطَّةٌ,حطة,حطة
نَّغْفِرْ,غفر,نغفر
لَكُمْ,لكم,لكم
خَطَٰيَٰكُمْ,خطٰيٰ,خطاياكم
وَسَنَزِيدُ,نزد,وسنزيد
ٱلْمُحْسِنِينَ,ٱلمحس,المحسنين
فَبَدَّلَ,بدل,فبدل
ظَلَمُوا۟,ظلموا۟,ظلموا
قَوْلًا,قول,قولا
غَيْرَ,غير,غير
فَأَنزَلْنَا,أنزل,فانزلنا
رِجْزًا,رجز,رجزا
يَفْسُقُونَ,فسق,يفسقون
وَإِذِ,وإذ,واذ
ٱسْتَسْقَىٰ,ٱستسقىٰ,استسقىا
فَقُلْنَا,فقل,فقلنا
ٱضْرِب,ٱضرب,اضرب
بِّعَصَاكَ,بعص,بعصاك
ٱلْحَجَرَ,ٱلحجر,الحجر
فَٱنفَجَرَتْ,ٱنفجر,فانفجرت
مِنْهُ,منه,منه
ٱثْنَتَا,ٱثن,اثنتا
عَشْرَةَ,عشر,عشرة
عَيْنًا,عين,عينا
قَدْ,قد,قد
عَلِمَ,علم,علم
كُلُّ,كل,كل
أُنَاسٍ,انس,اناس
مَّشْرَبَهُمْ,شرب,مشربهم
وَٱشْرَبُوا۟,وٱشربوا۟,واشربوا
رِّزْقِ,رزق,رزق
تَعْثَوْا۟,عثوا۟,تعثوا
مُفْسِدِينَ,فسد,مفسدين
نَّصْبِرَ,صبر,نصبر
طَعَامٍ,طعم,طعام
وَٰحِدٍ,ٰحد,واحد
فَٱدْعُ,ٱدع,فادع
لَنَا,لنا,لنا
رَبَّكَ,ربك,ربك
يُخْرِجْ,خرج,يخرج
تُنۢبِتُ,نۢب,تنبت
ٱلْأَرْضُ,ٱلأرض,الارض
بَقْلِهَا,بقل,بقلها
وَقِثَّآئِهَا,قثٓئ,وقثايها
وَفُومِهَا,وفم,وفومها
وَعَدَسِهَا,عدس,وعدسها
وَبَصَلِهَا,بصل,وبصلها
أَتَسْتَبْدِلُونَ,بدل,اتستبدلون
أَدْنَىٰ,دنىٰ,ادنىا
بِٱلَّذِى,ٱلذى,بالذى
مِصْرًا,صرا,مصرا
فَإِنَّ,فإن,فان
سَأَلْتُمْ,سأل,سالتم
وَضُرِبَتْ,ضرب,وضربت
عَلَيْهِمُ,علي,عليهم
ٱلذِّلَّةُ,ٱلذل,الذلة
